,ap0,ap1,ap2,ap3,ap4,result_x,result_y
0,-71.7028124701,-64.6905188336,-81.6523325332,-103.421143945,-83.0839804702,0,0
1,-72.863348133,-65.7201026407,-80.3892722819,-102.958007363,-84.5277645451,0,0
2,-71.9060950773,-64.6361812375,-81.5975326132,-102.957467296,-82.3403792266,0,0
3,-72.3018069555,-64.6314706516,-80.8666741353,-103.025501293,-83.1990831551,0,0
4,-71.4250777144,-66.7951980019,-81.631294416,-103.643851547,-82.551590418,0,0
5,-71.5124156751,-64.5089786081,-79.9662572779,-103.937539893,-81.6755987559,0,0
6,-71.7451865739,-63.4898223473,-81.8699007814,-103.160457606,-83.5016240481,0,0
7,-73.7850760201,-65.393089586,-82.7240591931,-104.698165271,-82.7233229383,0,0
8,-72.3022959795,-66.6099397891,-81.5405257893,-103.933998731,-84.0829159661,0,0
9,-72.5249775931,-64.9359938046,-81.5328408116,-102.380165284,-82.9338463275,0,0
10,-70.9572543603,-64.0609684364,-82.8885788365,-103.151239765,-82.4215495486,0,0
11,-70.7506312247,-66.4155837479,-81.4889539853,-103.326342723,-83.255091205,0,0
12,-70.2109780724,-62.7060986696,-81.6718845016,-104.525902706,-83.1183074875,0,0
13,-70.2064766678,-63.5674307198,-81.1916919857,-103.305199529,-81.9468108357,0,0
14,-71.4878647528,-64.9377118216,-81.3848393749,-103.022353421,-83.0979670611,0,0
15,-72.7690707385,-65.0549334316,-79.1070064416,-103.159221181,-83.8655251601,0,0
16,-71.1909026567,-64.8983596923,-79.1737592394,-104.721232641,-83.5094590218,0,0
17,-72.2900680735,-65.2840853326,-83.0559090159,-105.245860812,-83.3940916042,0,0
18,-70.5885212683,-63.4212464589,-81.7379479285,-104.896309516,-81.7501594275,0,0
19,-71.5078028329,-64.6381048097,-82.691418986,-103.267866662,-83.1536355145,0,0
20,-70.479238964,-64.6014874419,-81.6544189048,-103.432685534,-78.6864001893,0,2
21,-70.9120025362,-65.158493315,-81.5922066799,-103.216034658,-76.8790830981,0,2
22,-70.0170130447,-64.8381668918,-82.5434788564,-101.144492267,-79.7656737764,0,2
23,-70.2801338972,-65.1528727702,-80.4738479494,-102.194880716,-78.1925023794,0,2
24,-70.6519802311,-65.3710540141,-80.1689464496,-103.772611027,-76.1427374684,0,2
25,-71.6467306038,-64.5787827604,-83.3217393984,-103.106827639,-76.66199861,0,2
26,-69.0043606238,-64.2752819432,-81.0661845911,-103.558657999,-78.0306859837,0,2
27,-68.8726327714,-63.5735590907,-82.9925646085,-104.267696267,-78.922295451,0,2
28,-70.9082656539,-68.0484485117,-81.6790056052,-102.114608762,-79.6290962295,0,2
29,-72.5497676235,-64.7436513798,-80.2858095549,-104.429723478,-78.3169146026,0,2
30,-69.9509111877,-63.5414879032,-82.1940910226,-102.727699152,-80.0162100684,0,2
31,-69.2531913608,-66.6742016428,-82.6334186009,-103.978635201,-76.1722676255,0,2
32,-70.8706586143,-65.4284051841,-80.5387450347,-104.39062848,-79.1670423252,0,2
33,-69.1593325104,-64.8715616229,-83.6402375834,-104.145982536,-78.243021584,0,2
34,-70.4893131539,-64.6674581874,-83.7672671802,-104.03650499,-78.3394989977,0,2
35,-70.9956796988,-65.3188952665,-81.4144831051,-103.164504247,-78.2590626505,0,2
36,-71.0099568855,-65.5437107798,-82.434641157,-103.188812457,-79.3904782558,0,2
37,-70.9889625223,-63.5613169484,-83.6683754571,-103.268944736,-79.531460949,0,2
38,-70.8947223338,-64.7661365293,-81.9888054977,-104.344117864,-79.556085653,0,2
