,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27,ap28,ap29,ap30,ap31,ap32,ap33,ap34,ap35,ap36,ap37,ap38,ap39,ap40,ap41,result_x,result_y
0,-63,0,0,-94,-96,0,0,0,0,-91,-94,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,-94,0,0,0,-67,0,-87,-84,0,20.667486799909522,-103.46449747681618
1,-65,0,0,-91,-96,0,0,0,0,-93,-96,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,-96,-94,0,0,0,-64,0,-85,-75,0,20.667486799909522,-103.46449747681618
2,-65,0,0,-91,-96,0,0,0,0,-93,-96,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,-96,-94,0,0,0,-64,0,-85,-75,0,20.667486799909522,-103.46449747681618
3,-65,-97,0,-94,0,0,0,0,0,-93,-90,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,-61,0,-84,-76,-96,20.667486799909522,-103.46449747681618
4,-65,-97,0,-94,0,-93,0,0,0,-93,-90,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,-94,0,0,0,0,-64,0,-74,-74,-96,20.667486799909522,-103.46449747681618
5,-65,-97,0,-94,0,-93,0,0,0,-93,-90,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,-94,0,0,0,0,-64,0,-74,-74,-96,20.667486799909522,-103.46449747681618
6,-67,0,0,-93,-95,0,0,0,0,0,-95,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95,0,0,0,-63,0,-81,-67,0,20.667486799909522,-103.46449747681618
7,-67,0,0,-91,-95,0,0,0,0,-94,-95,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95,0,0,0,-66,0,-84,-71,0,20.667486799909522,-103.46449747681618
8,-67,0,0,-91,-95,0,0,0,0,-94,-95,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95,0,0,0,-66,0,-84,-71,0,20.667486799909522,-103.46449747681618
9,-63,0,0,0,-93,0,0,-93,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,-95,0,0,0,-66,0,-88,-70,0,20.667486799909522,-103.46449747681618
10,-64,-97,0,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,-66,0,0,-96,0,0,0,-57,0,-84,-78,0,20.667507190359533,-103.4645015001297
11,-64,-97,0,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,-66,0,0,-96,0,0,0,-57,0,-84,-78,0,20.667507190359533,-103.4645015001297
12,-65,-99,0,-94,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,-55,0,-89,-80,0,20.667507190359533,-103.4645015001297
13,-62,-99,0,-94,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-56,0,-83,-73,0,20.667507190359533,-103.4645015001297
14,-62,-99,0,-94,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-56,0,-83,-73,0,20.667507190359533,-103.4645015001297
15,-62,0,0,0,0,0,0,0,0,-93,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,-96,-93,0,0,0,-56,0,-82,-71,-96,20.667507190359533,-103.4645015001297
16,-61,0,0,0,0,0,0,0,0,-93,0,-74,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,-89,-97,0,0,0,-55,0,-77,-71,-96,20.667507190359533,-103.4645015001297
17,-61,0,0,0,0,0,0,0,0,-93,0,-74,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,-89,-97,0,0,0,-55,0,-77,-71,-96,20.667507190359533,-103.4645015001297
18,-60,0,0,0,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,-87,0,0,0,0,0,-94,0,0,0,0,-57,0,-88,-74,-95,20.667507190359533,-103.4645015001297
19,-63,0,0,0,0,0,0,0,0,0,0,-69,0,0,0,-85,0,0,0,0,-83,0,0,0,0,0,-89,0,0,0,0,0,-92,0,0,0,0,-55,0,-80,-75,-95,20.667507190359533,-103.4645015001297
20,-61,0,0,0,0,0,0,0,0,0,-94,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,-52,0,-79,-76,0,20.667512209546807,-103.46447434276342
21,-62,0,0,-96,0,0,0,0,0,0,-96,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,0,0,0,-73,0,0,0,0,0,0,-54,0,-79,-73,0,20.667512209546807,-103.46447434276342
22,-62,0,0,-96,0,0,0,0,0,0,-96,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,0,0,0,-73,0,0,0,0,0,0,-54,0,-79,-73,0,20.667512209546807,-103.46447434276342
23,-63,0,0,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,-95,0,0,0,-51,0,-78,-74,0,20.667512209546807,-103.46447434276342
24,-64,0,0,0,0,0,0,0,0,0,-88,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,-93,0,0,0,-52,0,-82,-77,0,20.667512209546807,-103.46447434276342
25,-64,0,0,0,0,0,0,0,0,0,-88,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,-93,0,0,0,-52,0,-82,-77,0,20.667512209546807,-103.46447434276342
26,-62,0,0,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,-97,0,0,0,-51,0,-81,-78,0,20.667512209546807,-103.46447434276342
27,-64,0,0,0,0,0,0,0,0,0,-95,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,-74,0,0,-97,0,0,0,-51,0,-80,-76,0,20.667512209546807,-103.46447434276342
28,-64,0,0,0,0,0,0,0,0,0,-95,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,-74,0,0,-97,0,0,0,-51,0,-80,-76,0,20.667512209546807,-103.46447434276342
29,-65,0,0,-96,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,-97,0,0,0,-52,0,-77,-77,0,20.667512209546807,-103.46447434276342
30,-74,0,0,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97,0,0,0,-77,0,0,0,0,0,0,-59,0,-85,-64,0,20.667489309503523,-103.46444718539715
31,-76,-97,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,-56,0,-87,-66,0,20.667489309503523,-103.46444718539715
32,-76,-97,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,-56,0,-87,-66,0,20.667489309503523,-103.46444718539715
33,-77,-96,0,0,0,0,-97,0,0,0,-94,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,-57,0,0,-67,0,20.667489309503523,-103.46444718539715
34,-81,-96,0,0,0,0,-97,0,0,0,-94,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,-56,0,-86,-67,0,20.667489309503523,-103.46444718539715
35,-81,-96,0,0,0,0,-97,0,0,0,-94,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,-56,0,-86,-67,0,20.667489309503523,-103.46444718539715
36,-78,0,0,0,0,0,-95,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,-85,-67,0,20.667489309503523,-103.46444718539715
37,-73,0,0,0,0,0,-95,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,0,-88,-67,0,20.667489309503523,-103.46444718539715
38,-73,0,0,0,0,0,-95,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,0,-88,-67,0,20.667489309503523,-103.46444718539715
39,-75,-95,0,-86,0,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,-97,-84,0,0,0,0,0,-82,0,0,0,0,0,0,-56,0,-87,-55,0,20.667489309503523,-103.46444718539715
40,-75,-95,0,-86,0,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,-97,-84,0,0,0,0,0,-82,0,0,0,0,0,0,-56,0,-87,-55,0,20.667569302790376,-103.4643341973424
41,-73,0,0,0,0,0,0,0,0,0,0,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,-85,0,-60,0,20.667569302790376,-103.4643341973424
42,-75,0,0,0,0,0,0,0,0,0,0,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,-85,0,-60,0,20.667569302790376,-103.4643341973424
43,-73,0,0,-79,0,0,0,0,0,0,0,-54,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,-54,-82,0,-62,0,20.667569302790376,-103.4643341973424
44,-76,0,0,-79,0,0,0,0,0,0,0,-47,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,-91,0,0,0,0,0,-54,-82,0,-61,0,20.667569302790376,-103.4643341973424
45,-76,0,0,0,0,0,0,0,0,0,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,-91,0,0,0,0,0,-51,-82,0,-59,0,20.667569302790376,-103.4643341973424
46,-70,0,0,0,0,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,-55,-82,0,-60,0,20.667569302790376,-103.4643341973424
47,-70,0,0,0,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,-50,-82,0,-53,0,20.667569302790376,-103.4643341973424
48,-68,0,0,0,0,0,0,0,0,0,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,-51,0,0,-55,0,20.667569302790376,-103.4643341973424
49,-71,0,0,0,0,0,0,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,-55,0,0,-62,0,20.667569302790376,-103.4643341973424
50,-72,0,0,0,0,0,0,0,0,0,0,-46,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,-57,-84,0,-56,0,20.667569302790376,-103.4643341973424
51,-53,0,0,-82,0,0,0,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,-39,-81,-78,-64,0,20.667569302790376,-103.4643341973424
52,-53,0,0,-82,0,0,0,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,-39,-81,-78,-64,0,20.66758498774366,-103.46445489674807
53,-61,0,0,-78,0,0,0,0,0,0,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,-30,0,-79,-63,0,20.66758498774366,-103.46445489674807
54,-55,0,0,-81,0,0,0,0,0,0,0,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,-25,0,-77,-66,0,20.66758498774366,-103.46445489674807
55,-57,0,0,-81,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,-78,0,0,0,0,0,0,-29,0,-78,-66,0,20.66758498774366,-103.46445489674807
56,-60,0,0,0,0,0,0,0,0,0,0,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,-79,0,0,0,0,0,0,-30,0,-77,-63,0,20.66758498774366,-103.46445489674807
57,-58,0,0,-83,0,0,0,0,0,0,0,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,-79,0,0,0,0,0,0,-32,0,-77,-69,0,20.66758498774366,-103.46445489674807
58,-57,0,0,-85,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,-32,0,-80,-65,0,20.66758498774366,-103.46445489674807
59,-60,0,0,-85,0,0,0,0,0,0,0,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,-31,0,-78,-61,0,20.66758498774366,-103.46445489674807
60,-57,0,0,-81,0,0,0,0,0,0,0,-58,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,0,-76,-72,0,20.66758498774366,-103.46445489674807
61,-54,0,0,-81,0,0,0,0,0,0,0,-61,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,-81,0,0,0,0,0,0,-28,0,-78,-60,0,20.66758498774366,-103.46445489674807
62,-56,0,0,-81,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,-31,0,-77,-68,0,20.66758498774366,-103.46445489674807
63,-62,0,0,-91,0,0,0,0,0,0,0,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,-31,0,-75,-57,0,20.66756679319771,-103.46445422619581
64,-57,0,0,-80,0,0,0,0,0,0,0,-62,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,-32,0,-74,-67,0,20.66756679319771,-103.46445422619581
65,-57,0,0,-80,0,0,0,0,0,0,0,-58,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,0,-77,-67,0,20.66756679319771,-103.46445422619581
66,-65,0,0,0,0,0,0,0,0,0,0,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,-32,0,-77,-64,0,20.66756679319771,-103.46445422619581
67,-57,0,0,-79,0,0,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,-86,0,0,0,-30,0,-77,-64,0,20.66756679319771,-103.46445422619581
68,-57,0,0,-79,0,0,0,0,0,0,0,-63,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,-91,0,0,0,-31,0,-80,-66,0,20.66756679319771,-103.46445422619581
69,-59,0,0,-79,0,0,0,0,0,0,0,-63,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,-87,0,0,0,-31,0,-80,-67,0,20.66756679319771,-103.46445422619581
70,-58,0,0,-79,0,0,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,-87,0,0,0,-32,0,-79,-60,0,20.66756679319771,-103.46445422619581
71,-54,0,0,-81,0,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,-34,0,-79,-60,0,20.66756679319771,-103.46445422619581
72,-55,0,0,-76,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,0,0,0,-44,0,-79,-62,0,20.66756679319771,-103.46445422619581
