,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27,ap28,ap29,ap30,ap31,ap32,ap33,ap34,ap35,ap36,ap37,ap38,ap39,ap40,ap41,result_x,result_y
0,0,0,0,0,0,0,0,0,0,0,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,0,0,-58,0,20.667473310841086,-103.46438851207496
1,0,0,0,0,0,0,0,0,0,0,0,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,0,-55,0,20.667473310841086,-103.46438851207496
2,-70,-76,0,0,0,-74,0,0,0,-82,0,-48,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,0,-80,-52,0,20.667473310841086,-103.46438851207496
3,-75,-76,0,0,0,-74,0,0,0,-82,0,-46,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,0,-80,-51,0,20.667473310841086,-103.46438851207496
4,-72,-76,0,0,0,-74,0,0,0,-82,0,-51,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,0,-79,-53,0,20.667473310841086,-103.46438851207496
5,-69,-76,0,0,0,-74,0,0,0,-82,0,-51,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,0,-75,-44,0,20.667473310841086,-103.46438851207496
6,-63,-76,0,0,0,-74,0,0,0,-82,0,-45,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52,0,-77,-45,0,20.667473310841086,-103.46438851207496
7,-63,0,0,0,0,-74,0,0,0,-82,0,-42,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,0,-77,-49,0,20.667473310841086,-103.46438851207496
8,-69,0,0,0,0,-74,0,0,0,-82,0,-40,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,0,-73,-53,0,20.667473310841086,-103.46438851207496
9,-64,0,0,0,0,-74,0,0,0,-82,0,-41,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,0,-73,-60,0,20.667473310841086,-103.46438851207496
