,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27,ap28,ap29,ap30,ap31,ap32,ap33,ap34,ap35,ap36,ap37,result_x,result_y
0,-69,-66,0,0,-87,0,-84,0,-81,-91,-80,0,0,-69,-85,-79,0,-81,0,0,0,-77,-76,0,0,0,-59,-80,0,-84,0,0,-76,-82,-79,-86,0,-80,-2,0
1,-69,-65,0,0,-87,0,-81,0,-81,0,-76,0,-82,-72,-85,-81,0,-81,0,0,0,-75,0,0,0,0,-64,-77,0,-78,0,-87,-92,0,-72,-82,0,0,-2,0
2,-71,-61,0,0,0,0,-81,0,0,0,-74,0,-82,-72,-77,-80,0,-73,0,0,0,-71,0,0,0,0,-60,-77,0,-80,-78,-87,-75,0,-72,-82,0,-81,-2,0
3,-81,-77,0,0,0,0,-83,0,-85,0,-93,0,0,-77,-87,0,0,-70,0,0,0,-79,-81,0,0,0,-68,-76,0,-90,0,0,-79,0,-77,-81,-83,0,-2,2
4,0,-76,0,0,0,0,-83,0,-86,0,-93,0,0,-68,-90,0,0,0,0,0,0,-76,0,0,0,0,-66,-76,0,-87,-83,0,-89,0,0,-81,-83,0,-2,2
5,-76,-67,0,0,0,0,-79,0,-82,0,-77,0,0,-71,-74,0,0,0,0,0,0,-72,0,0,0,0,-64,-79,0,-75,-83,0,-72,0,-77,-86,-83,0,-2,2
6,-81,-77,0,0,0,0,-85,0,-90,0,-76,0,0,-78,-86,0,0,0,0,0,-82,-77,-81,0,0,0,-67,-82,0,-87,0,0,-88,0,-77,-84,-87,-84,-2,4
7,-80,-79,0,0,0,0,-84,0,-85,0,0,0,0,-78,-84,0,0,0,0,0,-82,-70,0,0,0,0,-68,-86,0,-87,0,0,-87,0,-85,-83,-87,0,-2,4
8,-77,-71,0,0,0,0,-84,0,-87,0,-77,0,0,-72,-72,0,0,0,0,0,0,-64,-77,0,0,0,-64,-73,0,-79,0,0,-74,0,-77,-81,-87,0,-2,4
9,-78,-74,0,0,0,0,-82,0,-89,0,-80,0,0,-82,-87,-82,0,0,0,0,-86,-77,0,-91,0,0,-63,-83,-87,-84,0,-82,-87,0,-73,-85,0,-77,-3,3
10,-78,-75,0,0,0,0,-74,0,-85,0,-76,0,0,-79,-87,-80,0,0,0,0,-86,-78,0,0,0,0,-60,-88,0,-85,0,0,-69,0,-76,-80,0,0,-3,3
11,-76,-72,0,0,0,0,-81,0,-83,0,-73,0,-81,-72,-81,-80,0,0,-93,0,0,-70,-86,0,0,0,-63,-74,0,-73,0,0,-68,0,-71,-80,0,0,-3,3
12,-73,-69,0,0,0,0,0,0,0,0,-86,0,-82,-75,-77,-81,0,-73,0,0,0,-80,0,0,0,0,-57,-77,0,-89,-82,0,-91,0,-76,0,0,-81,-4,0
13,-73,-63,0,0,0,0,0,0,-86,0,-86,0,0,-79,0,-81,0,0,0,0,0,-75,0,0,0,0,-55,-77,0,-79,-82,0,-91,0,-76,0,0,0,-4,0
14,-75,-65,0,0,0,0,-84,-87,-86,-93,-72,0,0,-82,0,-87,0,-68,0,0,0,-73,0,0,0,0,-56,-84,0,-78,-72,0,-84,0,0,0,0,0,-4,0
15,0,-73,0,0,0,0,-85,0,-91,0,-85,0,0,-88,0,-84,0,0,0,0,-91,-77,0,0,0,0,-65,-89,0,-89,0,0,-79,0,0,-84,0,-95,-4,2
16,0,-64,0,0,0,0,-85,0,-88,0,-85,0,0,-80,0,-84,0,0,0,0,0,-77,-80,0,0,0,-55,-89,0,-83,0,0,-89,0,0,-84,0,-95,-4,2
17,-75,-61,0,0,0,0,0,0,-88,-89,-71,0,0,-82,-89,-79,0,0,0,0,0,-73,-80,0,0,0,-53,-74,0,-74,-77,0,-70,0,-80,-79,0,0,-4,2
18,0,-77,0,0,0,0,0,0,0,0,-84,0,0,-86,-88,-81,0,-77,0,0,0,-75,-91,0,0,0,-70,-89,0,-86,0,0,-89,0,-90,-89,-80,-83,-4,4
19,0,-77,0,0,0,0,0,0,-92,0,0,0,0,-85,0,-81,0,-77,0,0,0,-80,-91,0,0,0,-65,-89,0,-86,0,0,-89,0,-90,-89,0,-83,-4,4
20,-81,-76,0,0,0,0,-80,0,-87,0,0,0,0,-78,-95,0,0,-70,0,0,0,-74,-81,0,0,0,-63,-80,0,-81,0,0,-89,0,-77,0,0,0,-4,4
21,-78,-75,0,0,0,-95,-85,0,-79,0,-72,0,0,-78,-83,-80,0,-83,0,0,0,-69,-84,0,0,0,-59,-80,0,-89,0,0,-76,0,-89,-79,-80,0,0,0
22,-68,-65,0,0,0,-89,-76,0,-80,0,-78,0,-76,-67,-89,-72,0,-74,0,0,-77,-71,-82,0,0,0,-62,-73,0,-85,-78,0,-74,0,-78,-75,-84,-78,0,0
23,-70,-65,-92,-92,0,-89,-79,0,-82,-93,-76,0,-79,-67,-85,-77,0,0,0,0,-77,-64,-76,0,0,-85,-60,-78,0,-80,0,0,-74,0,-81,-74,-84,-77,0,0
24,-67,-76,0,0,0,0,-79,0,-87,0,-77,0,-79,-84,-85,-81,-96,-79,0,0,0,-71,0,0,0,-94,-63,-72,0,-80,-81,0,-74,0,-88,-83,0,0,0,1
25,-72,-64,0,0,0,0,-82,0,-85,0,-76,0,0,-80,-85,-80,0,-79,0,0,0,-68,0,0,0,0,-64,-76,0,-87,0,0,-74,0,-88,-82,0,-83,0,1
