,ap0,ap1,ap2,ap3,ap4,ap5,result_x,result_y
0,-71.7028124701,-64.6905188336,-81.6523325332,-103.421143945,-83.0839804702,-95.0710630734,0,0
1,-71.4265465801,-63.1484223561,-80.7296932757,-102.814080731,-84.0623893072,-95.3135365694,0,0
2,-71.99012206,-65.4302793992,-80.7509192205,-102.635996629,-83.2288241176,-95.1404015258,0,0
3,-71.7051731198,-65.4578131245,-81.6230004106,-104.222085694,-82.4520284914,-95.873073062,0,0
4,-71.7711255788,-66.0396873911,-79.9712098378,-104.155772237,-85.0266969187,-95.684154029,0,0
5,-69.0241141983,-67.2749642697,-82.3125832529,-100.174588927,-82.6811724697,-94.6614564258,0,0
6,-70.8608161293,-63.2003636944,-82.325287989,-104.772599823,-83.2336806673,-96.3676331883,0,0
7,-72.086659392,-64.3697564434,-81.2351093113,-103.222704051,-81.4653345292,-94.9474835439,0,0
8,-70.4135785633,-65.2162149078,-80.8141745938,-103.755755931,-83.0945133636,-95.1248954655,0,0
9,-71.1868622431,-65.2251666803,-80.0794134063,-103.282870635,-82.8012769881,-94.7500644282,0,0
10,-71.4054202606,-65.3749725066,-82.4555560168,-103.147039274,-81.8298426211,-94.3574640078,0,0
11,-70.2440864317,-63.3704544688,-82.1545104341,-103.409350596,-83.5892489778,-95.4854908675,0,0
12,-71.9905514113,-65.1780060631,-81.1260954044,-105.32582838,-83.1047372542,-95.6999417042,0,0
13,-71.6815667173,-66.2351529279,-82.5686407963,-103.582166802,-83.2336272136,-94.9005993834,0,0
14,-72.7160622327,-65.8680985296,-81.6305462269,-103.238522177,-82.149401235,-94.636413047,0,0
15,-70.9836456427,-63.690968087,-81.0551263491,-104.615257001,-82.2063950035,-94.0662219133,0,0
16,-72.1246740543,-63.3718797024,-82.8416338148,-101.309489298,-82.7363254332,-94.8527178071,0,0
17,-71.103983314,-65.0253083108,-81.5853234969,-101.838351208,-81.5406071903,-93.6878260577,0,0
18,-72.2226031093,-65.7470307772,-83.9246387735,-105.43948023,-82.1661286462,-94.1661588045,0,0
19,-71.2782310952,-65.1661699425,-81.3051454078,-103.472965467,-83.4155730901,-94.5773245731,0,0
20,-70.479238964,-64.6014874419,-81.6544189048,-103.432685534,-78.6864001893,-97.048786211,0,2
21,-70.8286375994,-63.9404843912,-81.229010754,-103.762319592,-77.7242831514,-97.6713637315,0,2
22,-69.1022357054,-63.9005071968,-80.9834544734,-104.26681284,-76.7241820056,-95.6065303231,0,2
23,-70.7000777518,-63.4674257605,-82.6682016628,-103.307031595,-77.210497607,-97.690608502,0,2
24,-68.3220058989,-64.115666467,-82.1422292003,-104.142843445,-78.4121888329,-96.7274024926,0,2
25,-72.9237116786,-63.3709656509,-82.4084061345,-102.846224657,-78.2591725142,-96.1919447414,0,2
26,-70.1408469672,-65.5574812187,-82.3419930981,-104.226179842,-78.8443861066,-98.603261451,0,2
27,-70.8917624004,-63.7573658969,-80.8067814094,-103.767814978,-78.917111846,-96.677642919,0,2
28,-71.0868645971,-63.6647786121,-82.825227818,-102.829885878,-78.5684367451,-97.9135354658,0,2
29,-69.1812487604,-64.006706143,-79.3276753016,-103.731479306,-79.4028878243,-94.772053249,0,2
30,-71.6980243391,-63.9698838558,-81.0340512163,-102.727219661,-78.5344627497,-95.0698559263,0,2
31,-69.5670394593,-64.5679951098,-83.3847573053,-103.869328028,-78.8564828309,-98.293148718,0,2
32,-70.505007721,-65.6991942812,-80.6560962367,-104.246476232,-76.8758843723,-98.0193983895,0,2
33,-70.5282380418,-65.0008009242,-80.067095797,-102.895245561,-79.7970914943,-96.6718921687,0,2
34,-69.6074887197,-64.7760527512,-83.228036155,-105.181440006,-79.3695771548,-97.1584785276,0,2
35,-71.378666014,-63.6641613611,-82.8453490604,-105.07400955,-79.1646161166,-95.2438562635,0,2
36,-70.851985368,-63.7123313463,-80.8131804871,-104.895739979,-78.2360982833,-97.9475826834,0,2
37,-70.1424246083,-64.3372138878,-81.6317625522,-101.658076522,-77.8613127176,-96.8861801653,0,2
38,-69.5021281332,-63.9180940098,-82.6857125747,-103.059762315,-78.3068217251,-96.2541135971,0,2
39,-69.5784698146,-64.9305166861,-80.7052353754,-103.992897923,-78.7137232595,-97.4172465363,0,2
40,-69.0547779884,-64.6301582135,-81.6397165122,-103.418280288,-75.7325932246,-97.2987237194,0,4
41,-68.2502305722,-65.0581155854,-81.5568077169,-103.023615454,-75.0815589258,-96.5323656483,0,4
42,-69.0358610812,-63.0537072376,-80.1466194217,-103.760798605,-77.0164934124,-97.1629281015,0,4
43,-67.3655155692,-64.3938917722,-82.1833275831,-103.151715303,-74.5510904598,-99.0446734288,0,4
44,-69.5147062198,-64.4818798818,-81.1547255843,-105.270738215,-74.1994795205,-96.8959689015,0,4
45,-67.8798148894,-63.98359142,-83.6905912922,-103.271460876,-77.830628118,-97.2906293975,0,4
46,-68.0560436929,-64.8325210912,-80.5814017267,-104.256773927,-74.0148191799,-97.6608965019,0,4
47,-69.0062119515,-66.4694219268,-82.9079557887,-103.476325641,-76.1921885405,-98.0472666693,0,4
48,-69.7292531443,-64.5193661847,-81.6049544157,-104.084914228,-76.8294844007,-96.2954787314,0,4
49,-68.3318377449,-65.8454560544,-81.97584582,-103.613943258,-74.713751461,-98.4639911794,0,4
50,-70.4153694658,-63.8246417985,-82.27633778,-101.823142925,-76.0205209195,-98.3414790418,0,4
51,-70.6891125171,-64.7790019119,-82.1035540113,-103.576138048,-76.6712234529,-97.7101574064,0,4
52,-68.2999399667,-64.7002367166,-80.8348074613,-102.787132661,-75.4664815321,-99.2060899085,0,4
